"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 22 04:20:11 GMT 2023","Sat Jul 22 04:20:13 GMT 2023","1967","","User Login","","","","Login with valid credentials",""
"passed","Sat Jul 22 04:20:15 GMT 2023","Sat Jul 22 04:20:17 GMT 2023","1800","","User Login","","","","Login with invalid credentials (example #2)",""
"passed","Sat Jul 22 04:20:13 GMT 2023","Sat Jul 22 04:20:15 GMT 2023","1830","","User Login","","","","Login with invalid credentials (example #1)",""
