"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 12 04:19:36 GMT 2023","Sat Aug 12 04:19:38 GMT 2023","2267","","User Login","","","","Login with valid credentials",""
"passed","Sat Aug 12 04:19:40 GMT 2023","Sat Aug 12 04:19:41 GMT 2023","1312","","User Login","","","","Login with invalid credentials (example #2)",""
"passed","Sat Aug 12 04:19:38 GMT 2023","Sat Aug 12 04:19:40 GMT 2023","1450","","User Login","","","","Login with invalid credentials (example #1)",""
