"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 28 10:31:45 GMT 2023","Tue Mar 28 10:31:47 GMT 2023","2492","","User Login","","","","Login with valid credentials",""
"passed","Tue Mar 28 10:31:47 GMT 2023","Tue Mar 28 10:31:49 GMT 2023","1551","","User Login","","","","Login with invalid credentials (example #1)",""
"passed","Tue Mar 28 10:31:49 GMT 2023","Tue Mar 28 10:31:50 GMT 2023","1549","","User Login","","","","Login with invalid credentials (example #2)",""
